Offense,Month,Attempted,Completed,Total
,May - 2024,176,"1,625","1,801"
,Jun - 2024,143,"1,527","1,670"
,Jul - 2024,155,"1,453","1,608"
,Aug - 2024,178,"1,481","1,659"
,Sep - 2024,136,"1,481","1,617"
,Oct - 2024,176,"1,503","1,679"
,Nov - 2024,173,"1,474","1,647"
,Dec - 2024,158,"1,495","1,653"
13A - Aggravated Assault,Jan - 2019,,"3,347","3,347"
,Feb - 2019,,"2,997","2,997"
,Mar - 2019,,"3,838","3,838"
,Apr - 2019,,"3,706","3,706"
,May - 2019,,"4,375","4,375"
,Jun - 2019,,"4,196","4,196"
,Jul - 2019,,"4,395","4,395"
,Aug - 2019,,"4,511","4,511"
,Sep - 2019,,"4,948","4,948"
,Oct - 2019,,"4,514","4,514"
,Nov - 2019,,"4,375","4,375"
,Dec - 2019,,"4,357","4,357"
,Jan - 2020,,"4,452","4,452"
,Feb - 2020,,"4,416","4,416"
,Mar - 2020,,"5,452","5,452"
,Apr - 2020,,"5,503","5,503"
,May - 2020,,"6,559","6,559"
,Jun - 2020,,"6,408","6,408"
,Jul - 2020,,"6,728","6,728"
,Aug - 2020,,"7,104","7,104"
,Sep - 2020,,"6,141","6,141"
,Oct - 2020,,"6,845","6,845"
,Nov - 2020,,"7,087","7,087"
,Dec - 2020,,"6,955","6,955"
,Jan - 2021,,"7,334","7,334"
,Feb - 2021,,"6,308","6,308"
,Mar - 2021,,"7,186","7,186"
,Apr - 2021,,"7,779","7,779"
,May - 2021,,"8,448","8,448"
,Jun - 2021,,"8,340","8,340"
,Jul - 2021,,"8,569","8,569"
,Aug - 2021,,"8,248","8,248"
,Sep - 2021,,"7,550","7,550"
,Oct - 2021,,"8,014","8,014"
,Nov - 2021,,"7,158","7,158"
,Dec - 2021,,"7,626","7,626"
,Jan - 2022,,"7,358","7,358"
,Feb - 2022,,"6,664","6,664"
,Mar - 2022,,"7,861","7,861"
,Apr - 2022,,"8,238","8,238"
,May - 2022,,"8,910","8,910"
,Jun - 2022,,"7,922","7,922"
,Jul - 2022,,"8,349","8,349"
,Aug - 2022,,"7,852","7,852"
,Sep - 2022,,"7,611","7,611"
,Oct - 2022,,"7,642","7,642"
,Nov - 2022,,"6,803","6,803"
,Dec - 2022,,"7,174","7,174"
,Jan - 2023,,"7,362","7,362"
,Feb - 2023,,"6,441","6,441"
,Mar - 2023,,"7,585","7,585"
,Apr - 2023,,"7,586","7,586"
,May - 2023,,"7,786","7,786"
,Jun - 2023,,"7,461","7,461"
,Jul - 2023,,"7,775","7,775"
,Aug - 2023,,"7,389","7,389"
,Sep - 2023,,"7,221","7,221"
,Oct - 2023,,"7,115","7,115"
,Nov - 2023,,"6,489","6,489"
,Dec - 2023,,"7,053","7,053"
,Jan - 2024,,"6,213","6,213"
,Feb - 2024,,"6,207","6,207"
,Mar - 2024,,"7,283","7,283"
,Apr - 2024,,"7,514","7,514"
,May - 2024,,"8,157","8,157"
,Jun - 2024,,"7,989","7,989"
,Jul - 2024,,"7,585","7,585"
,Aug - 2024,,"7,421","7,421"
,Sep - 2024,,"6,998","6,998"
,Oct - 2024,,"7,441","7,441"
,Nov - 2024,,"6,418","6,418"
,Dec - 2024,,"6,635","6,635"
13B - Simple Assault,Jan - 2019,,"11,082","11,082"
,Feb - 2019,,"10,514","10,514"
,Mar - 2019,,"12,097","12,097"
,Apr - 2019,,"12,807","12,807"
,May - 2019,,"13,907","13,907"
,Jun - 2019,,"13,026","13,026"
,Jul - 2019,,"13,657","13,657"
,Aug - 2019,,"14,358","14,358"
,Sep - 2019,,"15,570","15,570"
,Oct - 2019,,"15,251","15,251"
,Nov - 2019,,"14,170","14,170"
,Dec - 2019,,"14,096","14,096"
,Jan - 2020,,"14,587","14,587"
,Feb - 2020,,"15,481","15,481"
,Mar - 2020,,"17,176","17,176"
,Apr - 2020,,"15,329","15,329"
,May - 2020,,"18,176","18,176"
,Jun - 2020,,"17,354","17,354"
,Jul - 2020,,"17,134","17,134"
,Aug - 2020,,"18,807","18,807"
,Sep - 2020,,"17,282","17,282"
,Oct - 2020,,"18,143","18,143"
,Nov - 2020,,"19,397","19,397"
,Dec - 2020,,"19,111","19,111"
,Jan - 2021,,"20,376","20,376"
,Feb - 2021,,"18,761","18,761"
,Mar - 2021,,"21,421","21,421"
,Apr - 2021,,"21,966","21,966"
,May - 2021,,"24,598","24,598"
,Jun - 2021,,"22,451","22,451"
,Jul - 2021,,"22,871","22,871"
,Aug - 2021,,"23,342","23,342"
,Sep - 2021,,"23,986","23,986"
,Oct - 2021,,"24,969","24,969"
,Nov - 2021,,"22,000","22,000"
,Dec - 2021,,"22,473","22,473"
,Jan - 2022,,"21,166","21,166"
,Feb - 2022,,"19,923","19,923"
,Mar - 2022,,"23,179","23,179"
,Apr - 2022,,"24,800","24,800"
,May - 2022,,"26,196","26,196"
,Jun - 2022,,"22,356","22,356"
,Jul - 2022,,"23,197","23,197"
,Aug - 2022,,"22,813","22,813"
,Sep - 2022,,"24,139","24,139"
,Oct - 2022,,"24,074","24,074"
,Nov - 2022,,"20,789","20,789"
,Dec - 2022,,"21,495","21,495"
,Jan - 2023,,"21,902","21,902"
,Feb - 2023,,"20,755","20,755"
,Mar - 2023,,"22,926","22,926"
,Apr - 2023,,"24,044","24,044"
,May - 2023,,"25,289","25,289"
,Jun - 2023,,"22,422","22,422"
,Jul - 2023,,"23,585","23,585"
,Aug - 2023,,"23,201","23,201"
,Sep - 2023,,"24,512","24,512"
,Oct - 2023,,"24,153","24,153"
,Nov - 2023,,"22,205","22,205"
,Dec - 2023,,"22,528","22,528"
,Jan - 2024,,"21,994","21,994"
,Feb - 2024,,"22,394","22,394"
,Mar - 2024,,"23,561","23,561"
,Apr - 2024,,"24,983","24,983"
,May - 2024,,"26,396","26,396"
,Jun - 2024,,"23,047","23,047"
,Jul - 2024,,"22,819","22,819"
,Aug - 2024,,"24,282","24,282"
,Sep - 2024,,"24,761","24,761"
,Oct - 2024,,"25,068","25,068"
,Nov - 2024,,"23,017","23,017"
,Dec - 2024,,"22,441","22,441"
13C - Intimidation,Jan - 2019,,"3,116","3,116"
,Feb - 2019,,"3,059","3,059"
,Mar - 2019,,"3,237","3,237"
,Apr - 2019,,"3,572","3,572"
,May - 2019,,"3,694","3,694"
,Jun - 2019,,"3,361","3,361"
,Jul - 2019,,"3,513","3,513"
,Aug - 2019,,"3,973","3,973"
,Sep - 2019,,"4,073","4,073"
,Oct - 2019,,"3,976","3,976"
,Nov - 2019,,"3,781","3,781"
,Dec - 2019,,"3,880","3,880"
,Jan - 2020,,"4,239","4,239"
,Feb - 2020,,"4,179","4,179"
,Mar - 2020,,"4,429","4,429"
,Apr - 2020,,"4,504","4,504"
,May - 2020,,"5,310","5,310"
,Jun - 2020,,"5,355","5,355"
,Jul - 2020,,"5,351","5,351"
,Aug - 2020,,"5,328","5,328"
,Sep - 2020,,"5,184","5,184"
,Oct - 2020,,"5,367","5,367"
,Nov - 2020,,"5,414","5,414"
,Dec - 2020,,"5,593","5,593"
,Jan - 2021,,"5,781","5,781"
,Feb - 2021,,"5,304","5,304"
,Mar - 2021,,"6,437","6,437"
,Apr - 2021,,"6,478","6,478"
,May - 2021,,"7,024","7,024"
,Jun - 2021,,"6,652","6,652"
,Jul - 2021,,"6,425","6,425"
,Aug - 2021,,"6,698","6,698"
,Sep - 2021,,"6,986","6,986"
,Oct - 2021,,"6,961","6,961"
,Nov - 2021,,"6,081","6,081"
,Dec - 2021,,"6,781","6,781"
,Jan - 2022,,"6,072","6,072"
,Feb - 2022,,"5,469","5,469"
,Mar - 2022,,"6,555","6,555"
,Apr - 2022,,"6,427","6,427"
,May - 2022,,"6,952","6,952"
,Jun - 2022,,"6,652","6,652"
,Jul - 2022,,"6,170","6,170"
,Aug - 2022,,"6,690","6,690"
,Sep - 2022,,"6,761","6,761"
